================================================================================
 科室分诊 学习率对照   2026-09-18 08:39:26
 锚点: runs/formal（rank 16, lr 2e-4, 12000 条 × 3 epoch）
 对照: lr 0.0008 0.0016 0.0032
================================================================================

▶ lr_8e4  (lr=0.0008)
MODE=formal rank=16 trainable=393216 train=12000 val=600 initial_val_loss=3.098687
epoch=3/3 batch=2040/2250 loss=0.017581 lr=0.00019073
epoch=3/3 batch=2060/2250 loss=0.080256 lr=0.00018519
epoch=3/3 batch=2080/2250 loss=0.101055 lr=0.00018019
validation step=1040 val_loss=0.112946 improved=False
epoch=3/3 batch=2100/2250 loss=0.046352 lr=0.00017573
epoch=3/3 batch=2120/2250 loss=0.049152 lr=0.00017183
epoch=3/3 batch=2140/2250 loss=0.032874 lr=0.00016848
epoch=3/3 batch=2160/2250 loss=0.041220 lr=0.00016568
validation step=1080 val_loss=0.111614 improved=False
epoch=3/3 batch=2180/2250 loss=0.137258 lr=0.00016344
epoch=3/3 batch=2200/2250 loss=0.045389 lr=0.00016175
epoch=3/3 batch=2220/2250 loss=0.037949 lr=0.00016063
epoch=3/3 batch=2240/2250 loss=0.021627 lr=0.00016007
validation step=1120 val_loss=0.116976 improved=False
epoch=3/3 batch=2250/2250 loss=0.055964 lr=0.00016000
validation step=1125 val_loss=0.116590 improved=False
TRAINING_COMPLETE best_step=1000 best_val_loss=0.106796 run_dir=/root/autodl-tmp/MiniMind-medical/experiments/lora_triage_20260917/runs/lr_16e4
evaluated=50/600
evaluated=100/600
evaluated=150/600
evaluated=200/600
evaluated=250/600
evaluated=300/600
evaluated=350/600
evaluated=400/600
evaluated=450/600
evaluated=500/600
evaluated=550/600
evaluated=600/600
{
  "checkpoint": "/root/autodl-tmp/MiniMind-medical/experiments/lora_triage_20260917/runs/lr_16e4/best_lora.pth",
  "data": "/root/autodl-tmp/MiniMind-medical/experiments/lora_triage_20260917/data/formal/test.jsonl",
  "samples": 600,
  "lora_rank": 16,
  "num_classes": 6,
  "candidate_scoring_accuracy_mean": 0.825,
  "candidate_scoring_accuracy_sum": 0.825,
  "generation_accuracy": 0.825,
  "scoring_agreement": 0.9833333333333333,
  "scoring_note": "主指标是 candidate_scoring_accuracy_mean（每 token 平均 log-prob）。六个科室名 token 数不等，求和口径会系统性压低长标签，仅作对照。",
  "baseline": {
    "majority_class_accuracy": 0.1667,
    "random_expected_accuracy": 0.1667,
    "random_95ci": [
      0.1368,
      0.1965
    ],
    "min_accuracy_to_beat_random": 0.1965,
    "beats_random": true,
    "note": "candidate_scoring_accuracy_mean 需高于 min_accuracy_to_beat_random 才算显著优于随机；不要直接与 1/6 比较。"
  },
  "format_compliance_rate": 1.0,
  "macro_f1": 0.826199395815273,
  "confusion_matrix": {
    "内科": {
      "内科": 72,
      "外科": 12,
      "妇产科": 2,
      "儿科": 6,
      "肿瘤科": 8,
      "男科": 0
    },
    "外科": {
      "内科": 17,
      "外科": 72,
      "妇产科": 3,
      "儿科": 1,
      "肿瘤科": 4,
      "男科": 3
    },
    "妇产科": {
      "内科": 3,
      "外科": 2,
      "妇产科": 92,
      "儿科": 1,
      "肿瘤科": 2,
      "男科": 0
    },
    "儿科": {
      "内科": 7,
      "外科": 5,
      "妇产科": 4,
      "儿科": 83,
      "肿瘤科": 1,
      "男科": 0
    },
    "肿瘤科": {
      "内科": 5,
      "外科": 6,
      "妇产科": 1,
      "儿科": 2,
      "肿瘤科": 85,
      "男科": 1
    },
    "男科": {
      "内科": 1,
      "外科": 6,
      "妇产科": 2,
      "儿科": 0,
      "肿瘤科": 0,
      "男科": 91
    }
  },
  "predicted_label_distribution": {
    "内科": 105,
    "外科": 103,
    "妇产科": 104,
    "儿科": 93,
    "肿瘤科": 100,
    "男科": 95
  },
  "generation_predictions": {
    "内科": 109,
    "外科": 109,
    "妇产科": 101,
    "儿科": 93,
    "肿瘤科": 93,
    "男科": 95
  },
  "per_class": {
    "内科": {
      "precision": 0.6857142857142857,
      "recall": 0.72,
      "f1": 0.702439024390244
    },
    "外科": {
      "precision": 0.6990291262135923,
      "recall": 0.72,
      "f1": 0.7093596059113302
    },
    "妇产科": {
      "precision": 0.8846153846153846,
      "recall": 0.92,
      "f1": 0.9019607843137256
    },
    "儿科": {
      "precision": 0.8924731182795699,
      "recall": 0.83,
      "f1": 0.8601036269430051
    },
    "肿瘤科": {
      "precision": 0.85,
      "recall": 0.85,
      "f1": 0.85
    },
    "男科": {
      "precision": 0.9578947368421052,
      "recall": 0.91,
      "f1": 0.9333333333333333
    }
  }
}
EVALUATION_COMPLETE output=/root/autodl-tmp/MiniMind-medical/experiments/lora_triage_20260917/runs/lr_16e4/eval_formal.json

▶ lr_32e4  (lr=0.0032)
MODE=formal rank=16 trainable=393216 train=12000 val=600 initial_val_loss=3.098687
epoch=1/3 batch=20/2250 loss=0.311367 lr=0.00319944
epoch=1/3 batch=40/2250 loss=0.248978 lr=0.00319775
epoch=1/3 batch=60/2250 loss=0.255170 lr=0.00319495
epoch=1/3 batch=80/2250 loss=0.135440 lr=0.00319103
validation step=40 val_loss=0.229313 improved=True
epoch=1/3 batch=100/2250 loss=0.240034 lr=0.00318599
epoch=1/3 batch=120/2250 loss=0.271907 lr=0.00317983
epoch=1/3 batch=140/2250 loss=0.192250 lr=0.00317258
epoch=1/3 batch=160/2250 loss=0.303490 lr=0.00316422
